id,text
citation_154,"“North Pacifie Loan &amp; Trust Company te Spokane,” <em>Algemeen Handelsblad</em> (Amsterdam), June 29, 1918, morning ed., 91st year, no. 29194, PPN 832337900, Koninklijke Bibliotheek, Delpher, https://www.delpher.nl/."
citation_155,"<em>Effectenboek</em>, 1953, Deel: Buitenlandsche Fondsen, January 1, 1953 (Groningen: Noordhoff, 1953), 1389 pp., International Institute for Social History, NEHA EHB TT 1999."
citation_156,"“Spokane Meelmolens"", <em>Algemeen Handelsblad</em>, vol. 86, no. 27442 (September 2, 1913, evening edition)."
citation_157,"“Financien en Economie. Binnenland.,” <em>De Maasbode</em>, vol. 55, no. 18775 (May 24, 1923, evening edition)."
citation_158,"“Mr. E. J. Everwijn Lange Jr.,” <em>Het Vaderland</em>: Staat- en Letterkundig Nieuwsblad (’s-Gravenhage), July 24, 1928, evening ed., PPN 832689858, Koninklijke Bibliotheek, Delpher, https://www.delpher.nl/."
citation_159,"“Van Dissel Rites Friday,” <em>The Spokesman-Review</em>, March 29, 1933, 3."
citation_160,"“Two File Suit for Mine Stock,” <em>Idaho Statesman</em>, December 6, 1937; “Deaths—Van Dissel, E. F. Cartier—Age 77,” <em>Spokane Daily Chronicl</em>e, Fireside Edition, Second Section, Tuesday, October 15, 1940, 16."
citation_161,"“Pay Tribute to Insinger,” <em>The Spokesman-Review</em>, February 17, 1939, 9."
citation_162,"“Northwestern verkleint belangen in Amerika,” <em>De Volkskrant</em>, December 14, 1970, Dag ed., no. 14040, Jaargang 49, NV De Volkskrant, ’s-Hertogenbosch, Koninklijke Bibliotheek, Delpher, https://resolver.kb.nl/resolve?urn=ddd:412869594:mpeg21:a0001."
citation_163,"“North Western and Pacific Hypotheekbank.,” <em>Algemeen Handelsblad</em>, December 20, 1897, Ochtend ed., no. 21754, Jaargang 70, P. den Hengst en Zoon [etc.], Amsterdam, Koninklijke Bibliotheek (KB C 21), Delpher, https://www.delpher.nl/."
citation_164,"<em>Handbook for Knowledge of the Netherlands and Its Colonies</em> (<em>’s-Gravenhage</em>: Nijhoff, 1922), Koninklijke Bibliotheek, PPN 39530184X."
citation_165,"Leigh H. (Leigh Hadley) Irvine, <em>A History of the New California, Its Resources and People;</em>, with Allen County Public Library Genealogy Center (New York, Chicago, The Lewis publishing company, 1905), http://archive.org/details/historyofnewcali00irvi."
citation_166,"Carl Dahlgren, <em>Bird’s Eye View of Spokane</em>, ca. 1880s, in <em>The Illustrated History of Washington Territory and Valley of the Columbia</em>, Ephemera Collection, Northwest Museum of Arts and Culture (Eastern Washington State Historical Society), Spokane, WA."
